county,reporting_date,crisis,rfq_mean,r3q_mean,r1q_mean,staple_price_kes,staple_price_usd,has_price_data,price_mom_change,prev_crisis,crisis_streak,drought_streak,is_asal,season_long_rains,season_short_rains
Tharaka-Nithi,2013-04-01,0,126.900598,102.59950683333334,84.91536816666667,,,0,,0.0,0,0,1,1,0
Tharaka-Nithi,2013-07-01,0,97.33303833333333,106.79615333333334,62.42307400000001,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2013-10-01,0,110.42319916666668,91.42328833333333,103.59459166666666,,,0,,0.0,0,76,1,0,0
Tharaka-Nithi,2014-01-01,0,79.28785316666666,67.6111725,73.51048716666666,,,0,,0.0,0,77,1,0,1
Tharaka-Nithi,2014-04-01,0,138.54847900000001,97.893128,127.45535416666667,,,0,,0.0,0,78,1,1,0
Tharaka-Nithi,2014-07-01,0,121.12996766666667,67.7688925,96.79283316666665,,,0,,0.0,0,79,1,0,0
Tharaka-Nithi,2014-10-01,0,103.61465166666666,132.42490666666666,174.664394,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2015-01-01,0,85.2818225,83.2523475,80.07730516666668,,,0,,0.0,0,63,1,0,1
Tharaka-Nithi,2015-04-01,0,70.1074005,55.75789533333333,57.818222999999996,,,0,,0.0,0,64,1,1,0
Tharaka-Nithi,2015-07-01,0,87.87035083333335,129.63401666666667,71.74733333333333,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2015-10-01,0,81.30439266666666,94.00856266666666,70.29387766666666,,,0,,0.0,0,61,1,0,0
Tharaka-Nithi,2016-02-01,0,120.60061,130.86974416666666,137.94343666666666,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2016-06-01,0,74.912648,96.6627285,112.12592733333334,,,0,,0.0,0,81,1,1,0
Tharaka-Nithi,2016-10-01,0,92.6030775,77.2129785,84.94920833333333,,,0,,0.0,0,82,1,0,0
Tharaka-Nithi,2017-02-01,0,45.86342533333334,88.99414766666666,37.80460233333333,,,0,,0.0,0,83,1,0,0
Tharaka-Nithi,2017-06-01,0,76.66182733333333,59.61419849999999,62.449211,,,0,,0.0,0,84,1,1,0
Tharaka-Nithi,2017-10-01,0,98.41555333333334,91.94433833333333,94.72180150000001,,,0,,0.0,0,85,1,0,0
Tharaka-Nithi,2018-02-01,0,48.974575666666674,83.5369275,29.722233,,,0,,0.0,0,86,1,0,0
Tharaka-Nithi,2018-06-01,0,152.33602666666667,205.94893166666668,170.281571,,,0,,0.0,0,0,1,1,0
Tharaka-Nithi,2018-12-01,0,60.599670833333334,57.01850966666667,56.97166883333333,,,0,,0.0,0,77,1,0,1
Tharaka-Nithi,2019-02-01,0,96.736238,87.88048833333333,109.24144100000001,,,0,,0.0,0,78,1,0,0
Tharaka-Nithi,2019-06-01,0,98.06900133333333,63.047656999999994,100.07080433333333,,,0,,0.0,0,79,1,1,0
Tharaka-Nithi,2019-10-01,1,116.75770083333333,87.42032666666667,106.87573483333334,,,0,,0.0,0,80,1,0,0
Tharaka-Nithi,2020-02-01,0,230.01185,196.392435,176.62102066666668,,,0,,1.0,31,0,1,0,0
Tharaka-Nithi,2020-06-01,0,109.64744933333334,184.034315,185.33677333333333,,,0,,0.0,0,0,1,1,0
Tharaka-Nithi,2020-10-01,0,122.07045,134.07598666666667,141.63512416666666,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2021-02-01,0,82.17402600000001,76.15305083333334,95.42187133333333,,,0,,0.0,0,89,1,0,0
Tharaka-Nithi,2021-06-01,0,172.37517933333334,97.44777716666665,146.00524733333336,,,0,,0.0,0,90,1,1,0
Tharaka-Nithi,2021-10-01,0,91.39322333333332,88.94645483333333,85.47275066666667,,,0,,0.0,0,91,1,0,0
Tharaka-Nithi,2022-02-01,0,93.43138799999998,92.951429,202.42975083333332,,,0,,0.0,0,92,1,0,0
